name,tax_class,rule_class,overridden,is_stealer,breach_date,pwn_count
MyVidster,service,service,FALSE,FALSE,2015-08-15,19863
NamelessMalware,combolist,combolist,FALSE,TRUE,2020-01-01,1121484
NapsGear,service,service,FALSE,FALSE,2015-10-21,287071
NationalPublicData,service,service,FALSE,FALSE,2024-04-09,133957569
NaughtyAmerica,service,service,FALSE,FALSE,2016-03-14,1398630
NazApi,combolist,combolist,FALSE,TRUE,2023-09-20,70840771
NeimanMarcus,service,service,FALSE,FALSE,2024-04-14,31152842
NemoWeb,combolist,combolist,FALSE,FALSE,2016-09-04,3472916
Neopets,service,service,FALSE,FALSE,2013-05-05,26892897
NetEase,service,service,FALSE,FALSE,2015-10-19,234842089
Neteller,service,service,FALSE,FALSE,2010-05-17,3619948
NetGalley,service,service,FALSE,FALSE,2020-12-21,1436435
Netlog,service,service,FALSE,FALSE,2012-11-01,49038354
NetProspex,combolist,combolist,FALSE,FALSE,2016-09-01,33698126
Netshoes,service,service,FALSE,FALSE,2017-12-07,499836
NextGenUpdate,service,service,FALSE,FALSE,2014-04-22,1194597
NexusMods,service,service,FALSE,FALSE,2013-07-22,5915013
Nihonomaru,service,service,FALSE,FALSE,2015-12-01,1697282
Nitro,service,service,FALSE,FALSE,2020-09-28,77159696
Nival,service,service,FALSE,FALSE,2016-02-29,1535473
NonNudeGirls,service,service,FALSE,FALSE,2013-05-21,75383
NotAcxiom,aggregator,aggregator,FALSE,FALSE,2020-06-21,51730831
NotSOCRadar,aggregator,aggregator,FALSE,FALSE,2024-08-03,282478425
NulledCH,service,service,FALSE,FALSE,2020-05-20,43491
Nulled,service,service,FALSE,FALSE,2016-05-06,599080
NurseryCam,service,service,FALSE,FALSE,2021-02-12,10585
NVIDIA,service,service,FALSE,FALSE,2022-02-23,71335
OGUsers,service,service,FALSE,FALSE,2018-12-26,161143
OGUsers2020,service,service,FALSE,FALSE,2020-04-02,263189
OGUsers2021,service,service,FALSE,FALSE,2021-04-11,348302
OGUsers2022,service,service,FALSE,FALSE,2022-07-13,529020
OMGPOP,service,service,FALSE,FALSE,2013-01-01,7071293
OnlineTrade,service,service,FALSE,FALSE,2022-09-19,3805265
OnlinerSpambot,combolist,combolist,FALSE,FALSE,2017-08-28,711477622
Onverse,service,service,FALSE,FALSE,2016-01-01,800157
OpenCSGO,service,service,FALSE,FALSE,2017-11-28,512311
OpenSubtitles,service,service,FALSE,FALSE,2021-08-01,6783158
