country,legislature,term,leg_start_year,row_count,n_unique_emails,person_count_legistype,ltype,url,cc,leg_start_date,lastmod,cc3,pop2024,lastmod_year
Israel,Knesset,Knesset 5,1961,134,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-5.csv,IL,1961-09-04,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 11,1984,127,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-11.csv,IL,1984-08-13,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 7,1969,134,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-7.csv,IL,1969-11-17,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 9,1977,134,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/ad2afb8f520ea66ca3de817dc25c3c801167ab75/data/Israel/Knesset/term-9.csv,IL,1977-06-13,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 13,1992,132,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/4debe24fbc2e77debf7d97cc0e40615b3e3da54e/data/Israel/Knesset/term-13.csv,IL,1992-07-13,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 12,1988,129,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/9f8feed436f04301815018683566cc7df431e625/data/Israel/Knesset/term-12.csv,IL,1988-11-21,1557255602,ISR,9900172.0,2019
Israel,Knesset,Knesset 10,1981,128,0,933,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/47781cc3ccf6c67f7b872451f0e8c4dcc5a3a26f/data/Israel/Knesset/term-10.csv,IL,1981-07-20,1557255602,ISR,9900172.0,2019
United-Arab-Emirates,Federal National Council,2011–2015,2011,40,0,40,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/4531a8aee1ee852923a981a191c2cb2cca9f468c/data/United_Arab_Emirates/Federal_National_Council/term-2011.csv,AE,2011-11-15,1549119941,ARE,9591853.0,2019
Hungary,Országgyűlés,2018–,2018,203,184,247,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/fc70c7621dac16f5512be4dc5729923e2e48827f/data/Hungary/Assembly/term-41.csv,HU,2018-05-08,1556533685,HUN,9449423.0,2019
Hungary,Országgyűlés,2014–2018,2014,202,143,247,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/fc70c7621dac16f5512be4dc5729923e2e48827f/data/Hungary/Assembly/term-40.csv,HU,2014-05-10,1556533685,HUN,9449423.0,2019
Togo,National Assembly,2013–2018,2013,91,0,173,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/d0e2240702f8a7ff6d9c745af637b659d0a97dc9/data/Togo/Assembly/term-2013.csv,TG,2013-08-20,1557251123,TGO,9260864.0,2019
Togo,National Assembly,2018–,2018,91,0,173,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/5184a92fc83aeca3bdd477e8425168f337a26ebf/data/Togo/Assembly/term-2018.csv,TG,2018-12-21,1557251123,TGO,9260864.0,2019
Austria,Nationalrat,25th National Council,2013,187,0,182,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/63a36d82bcf371dc12e399de6dec03b00d5704c8/data/Austria/Nationalrat/term-25.csv,AT,2013-10-29,1557280552,AUT,9144349.0,2019
Belarus,House of Representatives,6th Convocation,2016,110,60,192,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/e245b1f6e7c23b231bf32e696fca29d32b18c5d1/data/Belarus/Chamber/term-6.csv,BY,2016-09-11,1557687970,BLR,9139221.0,2019
Belarus,House of Representatives,5th Convocation,2012,109,20,192,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/b08269e453500abb4ab508a349217f563e175e15/data/Belarus/Chamber/term-5.csv,BY,2012-09-23,1557687970,BLR,9139221.0,2019
