Country Name,cc3,Series Name,Series Code,2024 [YR2024],region,EU,politician,civil_servants
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1222075,,,,
Djibouti,DJI,"Population, total",SP.POP.TOTL,1152329,,,,
Fiji,FJI,"Population, total",SP.POP.TOTL,943072,,,,
Comoros,COM,"Population, total",SP.POP.TOTL,867605,,,,
Guyana,GUY,"Population, total",SP.POP.TOTL,819594,,,,
Bhutan,BTN,"Population, total",SP.POP.TOTL,792382,,,,
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,756673,,,,
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,713082,,,,
Luxembourg,LUX,"Population, total",SP.POP.TOTL,675135,,1,,
Suriname,SUR,"Population, total",SP.POP.TOTL,628785,,,,
Montenegro,MNE,"Population, total",SP.POP.TOTL,615708,,,,
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,604461,,,,
Malta,MLT,"Population, total",SP.POP.TOTL,554617,,1,,
Maldives,MDV,"Population, total",SP.POP.TOTL,517887,,,,
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,455858,,,,
Belize,BLZ,"Population, total",SP.POP.TOTL,416656,,,,
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,415223,,,,
Iceland,ISL,"Population, total",SP.POP.TOTL,395990,,,,
Vanuatu,VUT,"Population, total",SP.POP.TOTL,342325,,,,
French Polynesia,PYF,"Population, total",SP.POP.TOTL,311383,,,,
Barbados,BRB,"Population, total",SP.POP.TOTL,282309,,,,
New Caledonia,NCL,"Population, total",SP.POP.TOTL,270565,,,,
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,236381,,,,
Samoa,WSM,"Population, total",SP.POP.TOTL,228966,,,,
St. Lucia,LCA,"Population, total",SP.POP.TOTL,180805,,,,
Channel Islands,CHI,"Population, total",SP.POP.TOTL,176631,,,,
Guam,GUM,"Population, total",SP.POP.TOTL,174114,,,,
Curacao,CUW,"Population, total",SP.POP.TOTL,148613,,,,
Kiribati,KIR,"Population, total",SP.POP.TOTL,135763,,,,
Grenada,GRD,"Population, total",SP.POP.TOTL,126887,,,,
Seychelles,SYC,"Population, total",SP.POP.TOTL,120483,,,,
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,116300,,,,
Tonga,TON,"Population, total",SP.POP.TOTL,108683,,,,
Aruba,ABW,"Population, total",SP.POP.TOTL,106177,,,,
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,104181,,,,
